Crop,Total Queries,Number of Themes,Top Question,CSV File,Visualization
Chinese Cabbage,96,5,dhan ki kaun c kism ki buayi kare,Chinese_Cabbage_faq.csv,Chinese_Cabbage_faq.png
Clove,96,5,information about nutrient management in crop,Clove_faq.csv,Clove_faq.png
Camel,94,5,ask about animal husbandry information,Camel_faq.csv,Camel_faq.png
Loquat,94,5,plant portection in mango,Loquat_faq.csv,Loquat_faq.png
Avacado,93,5,pls tell me control of flower dropping in chilli crop,Avacado_faq.csv,Avacado_faq.png
Sunflower (suryamukhi),90,5,information about sowing time in any vegetable crop,Sunflower_suryamukhi_faq.csv,Sunflower_suryamukhi_faq.png
Moth Bean kidney bean deww gram,89,5,dhan ki kaun c kism ki buayi kare,Moth_Bean_kidney_bean_deww_gram_faq.csv,Moth_Bean_kidney_bean_deww_gram_faq.png
Little Millet (Samai/Kutki/kodo-kutki),86,5,farmer asked query on weather,Little_Millet_Samai_Kutki_kodo-kutki_faq.csv,Little_Millet_Samai_Kutki_kodo-kutki_faq.png
Horse,83,5,ask about animal husbandry information,Horse_faq.csv,Horse_faq.png
Crossandra,75,5,weather information,Crossandra_faq.csv,Crossandra_faq.png
Winged Bean,72,5,mosam ki jankari ki jankari,Winged_Bean_faq.csv,Winged_Bean_faq.png
Celery,71,5,weather information,Celery_faq.csv,Celery_faq.png
Roselle Mesta,66,5,weather information,Roselle_Mesta_faq.csv,Roselle_Mesta_faq.png
Summer Squash Vegetable Marrow,64,5,pls tell me control of flower dropping in chilli crop,Summer_Squash_Vegetable_Marrow_faq.csv,Summer_Squash_Vegetable_Marrow_faq.png
Anthurium,64,5,dhan me ki kida laga hai,Anthurium_faq.csv,Anthurium_faq.png
Hazlenut,64,5,pls tell me control of flower dropping in chilli crop,Hazlenut_faq.csv,Hazlenut_faq.png
Yard Long Bean,62,5,pls tell me control of flower dropping in chilli crop,Yard_Long_Bean_faq.csv,Yard_Long_Bean_faq.png
Lilliums,61,5,pls tell me control of flower dropping in chilli crop,Lilliums_faq.csv,Lilliums_faq.png
Arecanut,61,5,farmer asked query on weather,Arecanut_faq.csv,Arecanut_faq.png
Cowpea (Vegetable),61,5,pls tell me control of flower dropping in chilli crop,Cowpea_Vegetable_faq.csv,Cowpea_Vegetable_faq.png
Palmyra,59,5,pls tell me control of flower dropping in chilli crop,Palmyra_faq.csv,Palmyra_faq.png
Walnut,59,5,pls tell me control of flower dropping in chilli crop,Walnut_faq.csv,Walnut_faq.png
DatePalm,59,5,pls tell me control of flower dropping in chilli crop,DatePalm_faq.csv,DatePalm_faq.png
Cashew,56,5,pls tell me control of flower dropping in chilli crop,Cashew_faq.csv,Cashew_faq.png
Cymbidium,56,5,mausaam ke bare me bataye,Cymbidium_faq.csv,Cymbidium_faq.png
Mochai lab-lab,53,5,dhan ki baliya nahi nikal rahi  hai kya kare,Mochai_lab-lab_faq.csv,Mochai_lab-lab_faq.png
Cinnamon,52,5,pls tell me control of flower dropping in chilli crop,Cinnamon_faq.csv,Cinnamon_faq.png
Chinar Tree,52,5,pls tell me control of flower dropping in chilli crop,Chinar_Tree_faq.csv,Chinar_Tree_faq.png
Amarphophallus (Surankand/Elephant Foot Yam),52,5,information about sowing time in any vegetable crop,Amarphophallus_Surankand_Elephant_Foot_Yam_faq.csv,Amarphophallus_Surankand_Elephant_Foot_Yam_faq.png
Knol-Khol,52,5,potatao ki variety ki jankri,Knol-Khol_faq.csv,Knol-Khol_faq.png
Tuberose,51,5,pls tell me control of flower dropping in chilli crop,Tuberose_faq.csv,Tuberose_faq.png
Anjan Grass,50,5,farmer asked query on weather,Anjan_Grass_faq.csv,Anjan_Grass_faq.png
Bhang Hemp Canabis,49,5,pls tell me control of flower dropping in chilli crop,Bhang_Hemp_Canabis_faq.csv,Bhang_Hemp_Canabis_faq.png
Sweet Cherry,49,5,pls tell me control of flower dropping in chilli crop,Sweet_Cherry_faq.csv,Sweet_Cherry_faq.png
Mesta,48,5,mosam ki jankari ki jankari,Mesta_faq.csv,Mesta_faq.png
Passion Fruit,47,5,pls tell me control of flower dropping in chilli crop,Passion_Fruit_faq.csv,Passion_Fruit_faq.png
Coffee,45,5,pls tell me control of flower dropping in chilli crop,Coffee_faq.csv,Coffee_faq.png
Kaner,44,5,pls tell me control of flower dropping in chilli crop,Kaner_faq.csv,Kaner_faq.png
Lucerne Alfalfa,41,5,seed rate and seed treatment,Lucerne_Alfalfa_faq.csv,Lucerne_Alfalfa_faq.png
Lahsoda,40,5,pls tell me control of flower dropping in chilli crop,Lahsoda_faq.csv,Lahsoda_faq.png
KolanchiTephrosia Purpurea,38,5,dhan ki kaun c kism ki buayi kare,KolanchiTephrosia_Purpurea_faq.csv,KolanchiTephrosia_Purpurea_faq.png
Gobhi Sarson,37,5,mosam ki jankari ki jankari,Gobhi_Sarson_faq.csv,Gobhi_Sarson_faq.png
Pecan nut,37,5,dhan ki kaun c kism ki buayi kare,Pecan_nut_faq.csv,Pecan_nut_faq.png
lobia,36,5,dhan me ki kida laga hai,lobia_faq.csv,lobia_faq.png
Tea,35,5,pls tell me control of flower dropping in chilli crop,Tea_faq.csv,Tea_faq.png
Dinanath Grass,34,5,dhan ki kaun c kism ki buayi kare,Dinanath_Grass_faq.csv,Dinanath_Grass_faq.png
Rocket salad taramira,33,5,whet ki varieties,Rocket_salad_taramira_faq.csv,Rocket_salad_taramira_faq.png
Lettuce,32,5,pls tell me control of flower dropping in chilli crop,Lettuce_faq.csv,Lettuce_faq.png
Zentedeschia,32,5,pls tell me control of flower dropping in chilli crop,Zentedeschia_faq.csv,Zentedeschia_faq.png
Runner Bean,32,5,insect control in  crops,Runner_Bean_faq.csv,Runner_Bean_faq.png
Marvel Grass,31,5,information about sowing time in any vegetable crop,Marvel_Grass_faq.csv,Marvel_Grass_faq.png
Guinea Grass,31,5,pls tell me control of flower dropping in chilli crop,Guinea_Grass_faq.csv,Guinea_Grass_faq.png
Dill Seed,30,5,information about sowing time in any vegetable crop,Dill_Seed_faq.csv,Dill_Seed_faq.png
Snap Melon,30,5,pls tell me control of flower dropping in chilli crop,Snap_Melon_faq.csv,Snap_Melon_faq.png
Lesser Yam Rafula,29,5,pls tell me control of flower dropping in chilli crop,Lesser_Yam_Rafula_faq.csv,Lesser_Yam_Rafula_faq.png
Cocoa,28,5,pls tell me control of flower dropping in chilli crop,Cocoa_faq.csv,Cocoa_faq.png
Bishops Weed,28,5,mosam ki jankari ki jankari,Bishops_Weed_faq.csv,Bishops_Weed_faq.png
